STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
26,19410,2619410,Iron Mountain Public Schools,00,PK,12,G5420,,E,18141806,1734586,+45.8277282,-088.0615742
26,19470,2619470,Ironwood Area Schools,00,KG,12,G5420,,E,592982080,863933697,+46.6468337,-090.1148413
26,19530,2619530,Ishpeming Public School District,00,PK,12,G5420,,E,24279414,2445862,+46.4889381,-087.6671307
26,19580,2619580,Ithaca Public Schools,00,KG,12,G5420,,E,400837026,1166489,+43.2699254,-084.5918668
26,19620,2619620,Jackson Public Schools,00,PK,12,G5420,,E,99247644,2026880,+42.2144750,-084.4211786
26,19800,2619800,Jefferson Schools,00,PK,12,G5420,,E,90241629,9082846,+41.9756313,-083.2798437
26,19830,2619830,Jenison Public Schools,00,PK,12,G5420,,E,36813742,2124650,+42.9092107,-085.8194916
26,19890,2619890,Johannesburg-Lewiston Area School District,00,KG,12,G5420,,E,747907953,20138866,+44.9505534,-084.3829300
26,19920,2619920,Jonesville Community Schools,00,PK,12,G5420,,E,195384604,1688374,+42.0062613,-084.6351576
26,19950,2619950,Kalamazoo Public School District,00,PK,12,G5420,,E,140986915,1861951,+42.2782701,-085.6372993
26,20010,2620010,Kaleva Norman Dickson School District,00,KG,12,G5420,,E,748739037,12948744,+44.2747940,-085.9750087
26,20050,2620050,Kalkaska Public Schools,00,KG,12,G5420,,E,1129402337,23919714,+44.6061406,-084.9634416
26,20070,2620070,Kearsley Community Schools,00,KG,12,G5420,,E,54730854,2359731,+43.0731935,-083.6067556
26,20160,2620160,Kelloggsville Public Schools,00,KG,12,G5420,,E,10489651,9422,+42.8784370,-085.6721261
26,20280,2620280,Kenowa Hills Public Schools,00,KG,12,G5420,,E,121195286,518180,+43.0364717,-085.7573279
26,20310,2620310,Kent City Community Schools,00,KG,12,G5420,,E,174471429,1521027,+43.2414307,-085.7613500
26,20340,2620340,Kentwood Public Schools,00,PK,12,G5420,,E,62434387,122891,+42.8706135,-085.6084281
26,20380,2620380,Kingsley Area Schools,00,KG,12,G5420,,E,311139453,8442965,+44.5744783,-085.5517899
26,20400,2620400,Kingston Community School District,00,PK,12,G5420,,E,196811119,4541175,+43.4196174,-083.2160546
26,20550,2620550,Laingsburg Community School District,00,KG,12,G5420,,E,106837843,11060647,+42.8828839,-084.3713041
26,20610,2620610,Lake City Area School District,00,KG,12,G5420,,E,672976905,16533488,+44.4062461,-085.1063198
26,20670,2620670,Lake Fenton Community Schools,00,KG,12,G5420,,E,60472921,6499659,+42.8672354,-083.7260466
