favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
31,WVDE Twitbot,UPDATE: All schools in #Morgan Co now closed Thu 1/24/13 code A,,False,Thu Jan 24 12:05:34 +0000 2013,14,294415644559032320
6,WVDE Twitbot,All schools in #Preston Co closed Tue 1/21/14,,False,Tue Jan 21 09:53:59 +0000 2014,8,425566938530471936
0,WVDE Twitbot,All schools in #Fayette Co closed Mon 2/20/12,,False,Mon Feb 20 00:24:54 +0000 2012,18,171389829911814144
45,WVDE Twitbot,All schools in #Jackson Co closed Mon 1/25/16 code A,,False,Sun Jan 24 17:42:48 +0000 2016,62,691315227544154112
2,WVDE Twitbot,Near Midland Trail in #Fayette Co: Bus #1191 No Sugar Creek Rd. run,,False,Mon Mar 09 09:55:35 +0000 2015,2,574871143888392192
33,WVDE Twitbot,All schools in #Putnam Co closed Fri 1/10/14 due to the emergency water advisory.  The central office will also be closed,,False,Fri Jan 10 01:05:00 +0000 2014,147,421447550613221376
0,WVDE Twitbot,H E White Elementary School in #Clay Co closed Fri 3/8/13 due to Power outage,,False,Fri Mar 08 12:49:41 +0000 2013,1,310009424477569024
13,WVDE Twitbot,All schools in #Wetzel Co on a 2-hr delay Tue 1/30/18,,False,Tue Jan 30 09:46:38 +0000 2018,7,958275252211068928
18,WVDE Twitbot,All schools in #Tucker Co closed Wed 1/8/14,,False,Tue Jan 07 21:27:26 +0000 2014,14,420668020344619009
16,WVDE Twitbot,All schools in #Greenbrier Co on a 2-hr delay Wed 2/25/15,,False,Tue Feb 24 22:22:04 +0000 2015,21,570347960350822403
20,WVDE Twitbot,UPDATE: All schools in #Randolph Co now closed Wed 2/18/15,,False,Wed Feb 18 11:29:41 +0000 2015,16,568009454387658752
15,WVDE Twitbot,UPDATE: All schools in #Barbour Co now closed Tue 11/18/14 due to Road Conditions,,False,Tue Nov 18 11:40:35 +0000 2014,22,534672514778419201
19,WVDE Twitbot,UPDATE: All schools in #Wyoming Co now closed Wed 12/13/17 due to inclement weather,,False,Wed Dec 13 12:24:14 +0000 2017,12,940920293484384261
0,WVDE Twitbot,UPDATE: All schools in #Barbour Co now closed Wed 1/3/18 Staff will report on a two hour delay. Students should complete snow pack 2.,,False,Wed Jan 03 12:10:52 +0000 2018,6,948527075174076416
17,WVDE Twitbot,Lincoln High School in #Harrison Co closed Tue 5/9/17 due to water outage,,False,Mon May 08 20:32:40 +0000 2017,35,861680270323404800
39,WVDE Twitbot,All schools in #Marion Co closed Fri 2/20/15 due to Inclement Weather,,False,Thu Feb 19 22:34:10 +0000 2015,77,568539063428317184
