X,Y,code,lat,lon,elevation,station_name,STATEFP,UNSDLEA,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER
-80.46470,39.54360,USC00465626,39.54360,-80.46470,335.30000,WV MANNINGTON 8,54,00720,9700000US5400720,5400720,Marion County School District,00,799642461,7186185
-80.09140,38.21750,USC00465672,38.21750,-80.09140,655.30000,WV MARLINTON,54,01140,9700000US5401140,5401140,Pocahontas County School District,00,-1859645108,3978619
-77.95000,39.45000,USC00465705,39.45000,-77.95000,132.60000,WV MARTINSBURG (1),54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-77.96690,39.46580,USC00465706,39.46580,-77.96690,164.60000,WV MARTINSBURG 2,54,00060,9700000US5400060,5400060,Berkeley County School District,00,831766637,1061824
-78.86170,38.87220,USC00465739,38.87220,-78.86170,469.40000,WV MATHIAS,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-81.25000,37.41670,USC00465747,37.41670,-81.25000,762.90000,WV MATOAKA,54,00840,9700000US5400840,5400840,Mercer County School District,00,1085116214,4432246
-80.73330,39.98330,USC00465847,39.98330,-80.73330,200.90000,WV MC MECHEN DAM 13,54,00750,9700000US5400750,5400750,Marshall County School District,00,791063503,17411500
-78.90000,39.15000,USC00465855,39.15000,-78.90000,244.10000,WV MC NEILL 2,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-80.75000,37.98330,USC00465871,37.98330,-80.75000,745.50000,WV MCROSS,54,00390,9700000US5400390,5400390,Greenbrier County School District,00,-1654077674,12578200
-80.68000,37.98920,USC00465875,37.98920,-80.68000,975.40000,WV MCROSS 3,54,00390,9700000US5400390,5400390,Greenbrier County School District,00,-1654077674,12578200
-80.66670,37.88330,USC00465886,37.88330,-80.66670,747.10000,WV MEADOW BLUFF 2,54,00390,9700000US5400390,5400390,Greenbrier County School District,00,-1654077674,12578200
-80.85720,39.47000,USC00465963,39.47000,-80.85720,223.70000,WV MIDDLEBOURNE 3,54,01440,9700000US5401440,5401440,Tyler County School District,00,663797704,11403003
-80.18330,38.51670,USC00465970,38.51670,-80.18330,-999.90000,WV MIDDLEBROOK,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.08330,38.95000,USC00465984,38.95000,-80.08330,552.00000,WV MIDVALE,54,01470,9700000US5401470,5401470,Upshur County School District,00,918506895,302703
-81.38330,38.25000,USC00466140,38.25000,-81.38330,-999.90000,WV MONARCH,54,00600,9700000US5400600,5400600,Kanawha County School District,00,-1959751630,24056487
